game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,ablation,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block0_shift0_seed0_v1_no_c12,0,0,0,multi,AUSTRIA,consistent,dipnet,no_c12,stop_after_W1913A,W1913A,59,dipnet,cicero_nopress,cicero_nopress,dipnet,consistent,searchbot,consistent,0,0,17,0,3,4,10,0.000000,0.000000,0.698068,0.000000,0.021739,0.038647,0.241546,0,1,0,0,0,2,0,0,0,3,1,0,0,3,0,1,0,1,0,0,0,1,1,0,3,1,0,0,8,15,35,50,49,71,23,36,38,73,29,49,27,66
run_multi_block0_shift1_seed1_v1_no_c12,1,0,1,multi,AUSTRIA,consistent,dipnet,no_c12,solo_18sc_ITALY,F1913R,59,consistent,searchbot,searchbot,consistent,cicero_nopress,dipnet,cicero_nopress,0,0,15,1,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,39,14,20,70,84,43,63,42,93,25,44,7,21
run_multi_block0_shift3_seed3_v1_no_c12,3,0,3,multi,AUSTRIA,consistent,dipnet,no_c12,solo_18sc_FRANCE,F1909R,40,searchbot,consistent,consistent,searchbot,dipnet,cicero_nopress,dipnet,4,1,19,1,0,5,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,3,0,0,0,2,0,0,2,5,0,0,0,2,1,0,0,0,1,0,4,3,0,0,0,2,0,0,25,57,25,31,35,49,19,51,4,6,18,39,33,35
run_multi_block0_shift2_seed2_v1_no_c12,2,0,2,multi,AUSTRIA,consistent,dipnet,no_c12,stop_after_W1913A,W1913A,59,cicero_nopress,dipnet,dipnet,cicero_nopress,searchbot,consistent,searchbot,0,12,2,8,9,3,0,0.000000,0.476821,0.013245,0.211921,0.268212,0.029801,0.000000,0,4,0,0,0,6,3,0,1,1,1,1,1,5,0,0,2,8,0,0,0,1,0,0,0,1,0,0,6,22,52,75,27,58,49,64,65,98,9,33,18,36
run_multi_block1_shift1_seed1001_v1_no_c12,1001,1,1,multi,AUSTRIA,consistent,dipnet,no_c12,solo_18sc_RUSSIA,F1911R,46,dipnet,cicero_nopress,cicero_nopress,consistent,searchbot,consistent,dipnet,0,2,4,7,2,18,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0,0,1,4,0,0,1,2,0,0,5,16,20,23,25,30,37,50,18,51,40,79,23,41
run_multi_block1_shift0_seed1000_v1_no_c12,1000,1,0,multi,AUSTRIA,consistent,dipnet,no_c12,stop_after_W1913A,W1913A,55,consistent,dipnet,dipnet,searchbot,cicero_nopress,searchbot,consistent,5,0,2,16,5,0,6,0.072254,0.000000,0.011561,0.739884,0.072254,0.000000,0.104046,0,3,0,0,0,1,0,0,2,2,2,0,1,4,5,0,2,7,0,0,0,0,0,0,0,2,0,0,26,51,7,15,43,71,85,116,33,52,7,12,42,84
run_multi_block1_shift2_seed1002_v1_no_c12,1002,1,2,multi,AUSTRIA,consistent,dipnet,no_c12,solo_18sc_ITALY,F1909R,39,cicero_nopress,searchbot,searchbot,dipnet,consistent,dipnet,cicero_nopress,0,3,10,2,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,5,0,0,0,3,1,0,0,6,2,0,0,1,0,0,0,2,0,0,0,0,0,0,10,11,16,42,15,41,14,44,45,50,13,35,8,22
run_multi_block1_shift3_seed1003_v1_no_c12,1003,1,3,multi,AUSTRIA,consistent,dipnet,no_c12,max_phases,F1913R,60,searchbot,consistent,consistent,cicero_nopress,dipnet,cicero_nopress,searchbot,0,7,16,1,0,3,7,0.000000,0.134615,0.703297,0.002747,0.000000,0.024725,0.134615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,1,0,2,6,1,0,9,16,34,63,76,106,15,68,6,10,25,37,59,77
run_multi_block2_shift0_seed2000_v1_no_c12,2000,2,0,multi,AUSTRIA,consistent,dipnet,no_c12,solo_18sc_ITALY,F1913R,56,dipnet,dipnet,searchbot,searchbot,consistent,cicero_nopress,cicero_nopress,0,0,5,9,20,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,1,3,2,0,3,2,0,0,0,2,0,0,0,2,1,2,0,0,0,0,10,15,9,9,57,92,51,105,71,93,14,18,19,40
run_multi_block2_shift1_seed2001_v1_no_c12,2001,2,1,multi,AUSTRIA,consistent,dipnet,no_c12,solo_18sc_FRANCE,F1913R,57,searchbot,searchbot,consistent,consistent,cicero_nopress,dipnet,dipnet,11,0,18,0,5,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,0,3,2,1,0,1,0,0,62,80,7,9,52,98,37,53,34,47,16,36,5,9
