game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block4_shift3_seed4003_v5,4003,4,3,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,consistent,searchbot,dipnet,dipnet,cicero_nopress,consistent,cicero_nopress,3,0,15,0,0,8,8,0.024862,0.000000,0.621547,0.000000,0.000000,0.176796,0.176796,1,2,0,0,1,1,0,0,4,5,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,36,120,11,19,61,75,17,29,10,10,33,76,39,49
run_multi_block4_shift2_seed4002_v5,4002,4,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_ENGLAND,F1913R,54,dipnet,consistent,cicero_nopress,cicero_nopress,searchbot,dipnet,searchbot,0,19,0,0,0,0,15,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,2,1,0,0,16,33,82,111,16,23,8,15,32,52,16,33,52,74
run_multi_block3_shift3_seed3003_v5,3003,3,3,multi,AUSTRIA,consistent,dipnet,max_phases,F1913R,60,dipnet,cicero_nopress,consistent,cicero_nopress,searchbot,searchbot,consistent,8,7,0,6,5,0,8,0.268908,0.205882,0.000000,0.151261,0.105042,0.000000,0.268908,0,3,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,40,77,30,42,11,12,22,26,24,35,30,53,43,55
run_multi_block5_shift0_seed5000_v5,5000,5,0,multi,AUSTRIA,consistent,dipnet,solo_18sc_RUSSIA,F1911R,50,dipnet,searchbot,consistent,cicero_nopress,consistent,cicero_nopress,searchbot,0,0,13,2,1,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,4,1,0,1,2,0,0,13,22,5,9,47,72,34,66,19,31,57,84,10,23
run_multi_block5_shift1_seed5001_v5,5001,5,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_ITALY,F1911R,52,consistent,dipnet,cicero_nopress,searchbot,cicero_nopress,searchbot,dipnet,0,0,16,0,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,1,1,0,0,1,3,1,0,1,1,0,0,1,6,2,0,0,0,0,0,16,22,8,15,56,90,22,28,55,64,7,21,11,21
run_multi_block5_shift2_seed5002_v5,5002,5,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_TURKEY,F1912R,54,cicero_nopress,consistent,searchbot,dipnet,searchbot,dipnet,consistent,1,7,7,0,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,33,55,26,37,31,47,20,31,10,15,5,7,53,74
run_multi_block5_shift3_seed5003_v5,5003,5,3,multi,AUSTRIA,consistent,dipnet,solo_18sc_RUSSIA,F1911R,50,searchbot,cicero_nopress,dipnet,consistent,dipnet,consistent,cicero_nopress,0,0,4,0,0,19,11,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,5,18,27,46,7,18,18,23,60,85,39,79
run_multi_block6_shift0_seed6000_v5,6000,6,0,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1908M,35,cicero_nopress,searchbot,cicero_nopress,consistent,dipnet,searchbot,dipnet,5,0,0,19,8,2,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,2,0,0,0,0,0,0,26,37,3,5,10,14,41,59,16,31,18,27,9,13
run_multi_block6_shift1_seed6001_v5,6001,6,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1911R,49,consistent,dipnet,consistent,searchbot,cicero_nopress,dipnet,cicero_nopress,7,0,1,18,4,0,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,32,80,12,22,26,34,75,94,16,19,1,8,12,21
run_multi_block7_shift1_seed7001_v5,7001,7,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1910R,47,consistent,dipnet,cicero_nopress,consistent,searchbot,dipnet,cicero_nopress,0,1,1,18,6,0,8,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,5,18,31,21,29,36,49,31,46,12,30,22,30
