game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block2_shift1_seed2001_v4,2001,2,1,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,searchbot,searchbot,consistent,consistent,cicero_nopress,dipnet,dipnet,1,0,7,16,3,0,7,0.002747,0.000000,0.134615,0.703297,0.024725,0.000000,0.134615,1,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,2,0,0,21,36,3,4,47,50,86,120,17,29,18,31,23,36
run_multi_block2_shift2_seed2002_v4,2002,2,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1911R,50,consistent,consistent,cicero_nopress,cicero_nopress,dipnet,searchbot,searchbot,0,0,0,19,0,0,15,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,14,48,6,7,25,27,56,70,15,24,11,23,45,72
run_multi_block3_shift0_seed3000_v4,3000,3,0,multi,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1909R,39,cicero_nopress,searchbot,dipnet,searchbot,consistent,consistent,dipnet,19,0,11,4,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,1,1,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,59,9,14,30,54,25,44,10,14,7,31,4,5
run_multi_block3_shift2_seed3002_v4,3002,3,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,46,consistent,dipnet,searchbot,dipnet,cicero_nopress,cicero_nopress,searchbot,0,0,18,0,4,0,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,0,0,3,0,0,0,1,0,0,2,5,0,0,9,14,5,26,64,76,15,34,28,52,19,35,35,53
run_multi_block3_shift1_seed3001_v4,3001,3,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,48,searchbot,consistent,cicero_nopress,consistent,dipnet,dipnet,cicero_nopress,6,2,18,0,3,1,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,39,25,32,51,55,10,18,39,52,12,40,6,45
run_multi_block4_shift0_seed4000_v4,4000,4,0,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1907R,27,searchbot,cicero_nopress,consistent,consistent,dipnet,searchbot,dipnet,5,1,1,20,3,0,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,10,48,12,19,6,13,26,42,16,23,12,20,22,24
run_multi_block3_shift3_seed3003_v4,3003,3,3,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1908R,36,dipnet,cicero_nopress,consistent,cicero_nopress,searchbot,searchbot,consistent,0,0,5,18,8,1,2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,2,0,0,0,0,0,0,2,4,7,8,15,25,28,35,43,55,22,35,14,17
run_multi_block4_shift1_seed4001_v4,4001,4,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_TURKEY,F1912M,53,cicero_nopress,dipnet,searchbot,searchbot,consistent,cicero_nopress,consistent,0,2,8,6,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,3,0,0,3,8,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,22,57,31,70,40,81,20,32,21,25,74,84
run_multi_block4_shift2_seed4002_v4,4002,4,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1910R,45,dipnet,consistent,cicero_nopress,cicero_nopress,searchbot,dipnet,searchbot,0,0,5,18,9,0,2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,3,0,0,0,0,0,2,2,0,1,4,8,6,7,42,67,66,90,39,56,3,5,18,57
run_multi_block4_shift3_seed4003_v4,4003,4,3,multi,AUSTRIA,consistent,dipnet,solo_18sc_ENGLAND,F1913M,56,consistent,searchbot,dipnet,dipnet,cicero_nopress,consistent,cicero_nopress,0,18,0,0,0,0,16,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,5,2,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,13,74,141,25,27,17,25,13,20,10,22,80,115
