agent_name,singleton_power,count
consistent,AUSTRIA,1
consistent,ENGLAND,1
consistent,FRANCE,0
consistent,GERMANY,0
consistent,ITALY,2
consistent,RUSSIA,1
consistent,TURKEY,0
cicero_nopress,AUSTRIA,1
cicero_nopress,ENGLAND,1
cicero_nopress,FRANCE,0
cicero_nopress,GERMANY,0
cicero_nopress,ITALY,2
cicero_nopress,RUSSIA,1
cicero_nopress,TURKEY,0
dipnet,AUSTRIA,1
dipnet,ENGLAND,1
dipnet,FRANCE,0
dipnet,GERMANY,0
dipnet,ITALY,2
dipnet,RUSSIA,1
dipnet,TURKEY,0
searchbot,AUSTRIA,1
searchbot,ENGLAND,1
searchbot,FRANCE,0
searchbot,GERMANY,0
searchbot,ITALY,2
searchbot,RUSSIA,1
searchbot,TURKEY,0
