agent_name,n_agent_game_samples,mean_controlled_powers,mean_sos_sum,sem_sos_sum,ci95_sos_sum_low,ci95_sos_sum_high,mean_sos_mean,sem_sos_mean,ci95_sos_mean_low,ci95_sos_mean_high,mean_sc_sum,mean_sc_mean,mean_total_conflicts,support_success_total,support_total_total,support_success_ratio
consistent,20,1.750000,0.428198,0.109386,0.213801,0.642595,0.239162,0.066084,0.109638,0.368687,9.700000,5.325000,0.800000,862,1343,0.641847
cicero_nopress,20,1.750000,0.327912,0.102505,0.127003,0.528821,0.189574,0.064226,0.063690,0.315458,9.050000,5.100000,2.450000,939,1458,0.644033
dipnet,20,1.750000,0.011525,0.007918,-0.003994,0.027044,0.005824,0.003956,-0.001929,0.013578,3.650000,2.125000,3.750000,544,1166,0.466552
searchbot,20,1.750000,0.232365,0.093546,0.049015,0.415715,0.141183,0.061828,0.019999,0.262366,11.600000,6.950000,7.850000,1092,1898,0.575342
