role,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
consistent,per_power,AUSTRIA,10,0.0,0.0,0.0,0.0,1.0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,112,186,0.6021505376344086
consistent,per_power,ENGLAND,10,0.023580429161363346,0.0,0.0,0.6,0.4,0,0,6,4,0,7,0,0,0.0,0.7,0.0,0.0,181,246,0.7357723577235772
consistent,per_power,FRANCE,10,0.08641498152145287,0.0,0.0,0.7,0.3,0,0,7,3,0,1,0,0,0.0,0.1,0.0,0.0,255,492,0.5182926829268293
consistent,per_power,GERMANY,10,0.00782393893963016,0.0,0.0,0.5,0.5,0,0,5,5,0,2,0,0,0.0,0.2,0.0,0.0,246,368,0.6684782608695652
consistent,per_power,ITALY,10,0.03639773069646442,0.0,0.0,0.5,0.5,0,0,5,5,0,3,0,0,0.0,0.3,0.0,0.0,174,258,0.6744186046511628
consistent,per_power,RUSSIA,10,0.04181643874787014,0.0,0.0,0.6,0.4,0,0,6,4,0,9,0,0,0.0,0.9,0.0,0.0,237,374,0.6336898395721925
consistent,per_power,TURKEY,10,0.02243225813935169,0.0,0.0,0.6,0.4,0,0,6,4,0,3,0,0,0.0,0.3,0.0,0.0,255,447,0.5704697986577181
opponent,per_power,AUSTRIA,60,0.061519136892472286,0.0,0.05,0.45,0.5,0,3,27,30,27,145,17,4,0.45,2.4166666666666665,0.2833333333333333,0.06666666666666667,1371,2755,0.49764065335753177
opponent,per_power,ENGLAND,60,0.12984453154719527,0.0,0.18333333333333332,0.7666666666666667,0.05,0,11,46,3,31,165,70,1,0.5166666666666667,2.75,1.1666666666666667,0.016666666666666666,1383,2541,0.5442739079102715
opponent,per_power,FRANCE,60,0.2586664303268057,0.0,0.43333333333333335,0.48333333333333334,0.08333333333333333,0,26,29,5,22,162,59,3,0.36666666666666664,2.7,0.9833333333333333,0.05,1980,3716,0.5328310010764262
opponent,per_power,GERMANY,60,0.1681848651459562,0.0,0.21666666666666667,0.6333333333333333,0.15,0,13,38,9,46,203,51,5,0.7666666666666667,3.3833333333333333,0.85,0.08333333333333333,1932,3951,0.48899012908124523
opponent,per_power,ITALY,60,0.16368629243872623,0.0,0.16666666666666666,0.6,0.23333333333333334,0,10,36,14,76,161,31,1,1.2666666666666666,2.683333333333333,0.5166666666666667,0.016666666666666666,1554,2934,0.5296523517382413
opponent,per_power,RUSSIA,60,0.16140564106834582,0.0,0.16666666666666666,0.7333333333333333,0.1,0,10,44,6,18,148,34,5,0.3,2.466666666666667,0.5666666666666667,0.08333333333333333,1894,3629,0.5219068613943235
opponent,per_power,TURKEY,60,0.18694880637947628,0.0,0.18333333333333332,0.7,0.11666666666666667,0,11,42,7,38,157,24,2,0.6333333333333333,2.6166666666666667,0.4,0.03333333333333333,1700,3029,0.5612413337735226
consistent,overall,OVERALL,70,0.031209396743733242,0.0,0.0,0.5,0.5,0,0,35,35,0,25,0,0,0.0,0.35714285714285715,0.0,0.0,1460,2371,0.6157739350485028
opponent,overall,OVERALL,420,0.16146510054271102,0.0,0.2,0.6238095238095238,0.1761904761904762,0,84,262,74,258,1141,286,21,0.6142857142857143,2.716666666666667,0.680952380952381,0.05,11814,22555,0.5237863001551762
