role,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
consistent,per_power,AUSTRIA,14,0.0009852216748768472,0.0,0.0,0.07142857142857142,0.9285714285714286,0,0,1,13,0,3,0,0,0.0,0.21428571428571427,0.0,0.0,148,288,0.5138888888888888
consistent,per_power,ENGLAND,10,0.00924588661327161,0.0,0.0,0.4,0.6,0,0,4,6,0,2,0,0,0.0,0.2,0.0,0.0,166,248,0.6693548387096774
consistent,per_power,FRANCE,10,0.19346075188761436,0.0,0.3,0.6,0.1,0,3,6,1,0,3,0,0,0.0,0.3,0.0,0.0,331,626,0.5287539936102237
consistent,per_power,GERMANY,10,0.03611136746872227,0.0,0.0,0.7,0.3,0,0,7,3,0,4,0,0,0.0,0.4,0.0,0.0,272,513,0.530214424951267
consistent,per_power,ITALY,10,0.044612416800392005,0.0,0.1,0.3,0.6,0,1,3,6,0,3,0,0,0.0,0.3,0.0,0.0,119,197,0.6040609137055838
consistent,per_power,RUSSIA,10,0.03548087487468542,0.0,0.1,0.5,0.4,0,1,5,4,0,1,0,0,0.0,0.1,0.0,0.0,256,427,0.5995316159250585
consistent,per_power,TURKEY,10,0.06242670874680224,0.0,0.0,0.6,0.4,0,0,6,4,0,1,0,0,0.0,0.1,0.0,0.0,232,408,0.5686274509803921
opponent,per_power,AUSTRIA,60,0.07009316364063767,0.0,0.06666666666666667,0.5,0.43333333333333335,0,4,30,26,10,127,11,4,0.16666666666666666,2.1166666666666667,0.18333333333333332,0.06666666666666667,1414,2705,0.5227356746765249
opponent,per_power,ENGLAND,64,0.13063995400472847,0.0,0.15625,0.75,0.09375,0,10,48,6,24,150,95,1,0.375,2.34375,1.484375,0.015625,1499,2797,0.5359313550232392
opponent,per_power,FRANCE,64,0.24868867284052057,0.0,0.390625,0.5,0.109375,0,25,32,7,28,162,58,2,0.4375,2.53125,0.90625,0.03125,1956,3748,0.5218783351120597
opponent,per_power,GERMANY,64,0.1745288574382295,0.0,0.203125,0.703125,0.09375,0,13,45,6,37,219,46,4,0.578125,3.421875,0.71875,0.0625,2153,4682,0.4598462195642888
opponent,per_power,ITALY,64,0.14515565690163104,0.0,0.171875,0.640625,0.1875,0,11,41,12,65,157,54,2,1.015625,2.453125,0.84375,0.03125,1677,3171,0.5288552507095553
opponent,per_power,RUSSIA,64,0.12702755891102763,0.0,0.078125,0.765625,0.15625,0,5,49,10,18,165,29,8,0.28125,2.578125,0.453125,0.125,1898,4139,0.45856487074172503
opponent,per_power,TURKEY,64,0.20469737825071552,0.015625,0.203125,0.734375,0.046875,1,13,47,3,36,135,25,1,0.5625,2.109375,0.390625,0.015625,1909,3417,0.5586772022241733
consistent,overall,OVERALL,74,0.051718556315718325,0.0,0.06756756756756757,0.43243243243243246,0.5,0,5,32,37,0,17,0,0,0.0,0.22972972972972974,0.0,0.0,1524,2707,0.5629848540820096
opponent,overall,OVERALL,444,0.15804690728071374,0.0022522522522522522,0.18243243243243243,0.6576576576576577,0.15765765765765766,1,81,292,70,218,1115,318,22,0.49099099099099097,2.5112612612612613,0.7162162162162162,0.04954954954954955,12506,24659,0.5071576300742122
