game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block0_shift0_seed0_v1,0,0,0,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,58,dipnet,cicero_nopress,cicero_nopress,dipnet,consistent,searchbot,consistent,0,15,0,0,10,0,9,0.000000,0.554187,0.000000,0.000000,0.246305,0.000000,0.199507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,83,96,25,36,9,13,44,80,16,37,36,63
run_multi_block0_shift3_seed3_v1,3,0,3,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,58,searchbot,consistent,consistent,searchbot,dipnet,cicero_nopress,dipnet,0,3,11,4,0,16,0,0.000000,0.022388,0.300995,0.039801,0.000000,0.636816,0.000000,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,11,18,40,56,48,77,19,54,3,3,42,90,23,50
run_multi_block0_shift2_seed2_v1,2,0,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_TURKEY,F1912R,55,cicero_nopress,dipnet,dipnet,cicero_nopress,searchbot,consistent,searchbot,0,0,3,12,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,9,9,9,9,36,89,48,69,31,39,7,27,53,60
run_multi_block0_shift1_seed1_v1,1,0,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1911M,48,consistent,searchbot,searchbot,consistent,cicero_nopress,dipnet,cicero_nopress,20,5,3,0,5,1,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,3,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,51,63,22,41,38,61,15,29,29,38,15,29,16,27
run_multi_block1_shift0_seed1000_v1,1000,1,0,multi,AUSTRIA,consistent,dipnet,max_phases,F1914M,60,consistent,dipnet,dipnet,searchbot,cicero_nopress,searchbot,consistent,10,4,10,6,0,0,4,0.373134,0.059701,0.373134,0.134328,0.000000,0.000000,0.059701,0,3,0,0,0,5,0,0,1,2,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,48,109,36,53,51,87,34,49,17,28,18,37,30,45
run_multi_block1_shift1_seed1001_v1,1001,1,1,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,56,dipnet,cicero_nopress,cicero_nopress,consistent,searchbot,consistent,dipnet,0,0,7,9,15,3,0,0.000000,0.000000,0.134615,0.222527,0.618132,0.024725,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,3,5,5,5,62,73,57,89,57,71,15,23,34,93
run_multi_block1_shift3_seed1003_v1,1003,1,3,multi,AUSTRIA,consistent,dipnet,max_phases,S1913R,60,searchbot,consistent,consistent,cicero_nopress,dipnet,cicero_nopress,searchbot,0,0,16,0,1,14,3,0.000000,0.000000,0.554113,0.000000,0.002165,0.424242,0.019481,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,7,1,0,2,7,0,0,4,4,27,30,59,107,17,34,20,31,48,108,39,59
run_multi_block2_shift0_seed2000_v1,2000,2,0,multi,AUSTRIA,consistent,dipnet,max_phases,F1913R,60,dipnet,dipnet,searchbot,searchbot,consistent,cicero_nopress,cicero_nopress,0,0,17,1,2,14,0,0.000000,0.000000,0.589796,0.002041,0.008163,0.400000,0.000000,0,0,0,0,0,2,0,0,0,0,1,0,2,3,1,0,0,0,0,0,2,3,1,0,0,1,0,0,5,5,5,9,38,47,26,38,47,63,68,86,17,35
run_multi_block2_shift1_seed2001_v1,2001,2,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1912R,51,searchbot,searchbot,consistent,consistent,cicero_nopress,dipnet,dipnet,2,3,19,9,0,1,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,36,57,17,25,46,118,35,82,7,11,6,28,19,28
run_multi_block1_shift2_seed1002_v1,1002,1,2,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,60,cicero_nopress,searchbot,searchbot,dipnet,consistent,dipnet,cicero_nopress,1,7,8,0,3,0,15,0.002874,0.140805,0.183908,0.000000,0.025862,0.000000,0.646552,0,1,0,0,4,9,1,0,2,4,1,0,2,3,1,2,0,0,0,0,0,0,0,0,1,4,0,0,14,27,47,61,37,57,29,33,36,41,15,40,53,69
