agent_name,n_agent_game_samples,mean_controlled_powers,mean_sos_sum,sem_sos_sum,ci95_sos_sum_low,ci95_sos_sum_high,mean_sos_mean,sem_sos_mean,ci95_sos_mean_low,ci95_sos_mean_high,mean_sc_sum,mean_sc_mean,mean_total_conflicts,support_success_total,support_total_total,support_success_ratio
consistent,40,1.750000,0.451253,0.065582,0.322712,0.579794,0.259550,0.041950,0.177328,0.341772,13.375000,7.500000,0.600000,2395,3900,0.614103
cicero_nopress,40,1.750000,0.231722,0.052114,0.129578,0.333866,0.137017,0.032101,0.074099,0.199936,9.025000,5.237500,3.275000,2205,3519,0.626598
dipnet,40,1.750000,0.045192,0.027164,-0.008049,0.098434,0.022623,0.013581,-0.003996,0.049242,2.775000,1.475000,3.900000,1235,2644,0.467095
searchbot,40,1.750000,0.271832,0.060893,0.152481,0.391183,0.159346,0.037865,0.085131,0.233561,8.825000,5.275000,5.700000,2117,3402,0.622281
