agent_name,n_agent_game_samples,mean_controlled_powers,mean_sos_sum,sem_sos_sum,ci95_sos_sum_low,ci95_sos_sum_high,mean_sos_mean,sem_sos_mean,ci95_sos_mean_low,ci95_sos_mean_high,mean_sc_sum,mean_sc_mean,mean_total_conflicts,support_success_total,support_total_total,support_success_ratio
consistent,40,1.750000,0.315697,0.062493,0.193211,0.438183,0.187956,0.039249,0.111028,0.264885,9.925000,5.950000,0.700000,2171,3330,0.651952
cicero_nopress,40,1.750000,0.476162,0.069205,0.340520,0.611804,0.270505,0.042677,0.186859,0.354151,13.200000,7.512500,4.250000,2254,3262,0.690987
dipnet,40,1.750000,0.063616,0.024612,0.015375,0.111856,0.037158,0.013745,0.010218,0.064097,3.775000,2.225000,5.250000,1378,2563,0.537651
searchbot,40,1.750000,0.144525,0.046134,0.054103,0.234947,0.092862,0.033578,0.027049,0.158676,7.100000,4.200000,6.500000,1789,2944,0.607677
