agent_name,n_agent_game_samples,mean_controlled_powers,mean_sos_sum,sem_sos_sum,ci95_sos_sum_low,ci95_sos_sum_high,mean_sos_mean,sem_sos_mean,ci95_sos_mean_low,ci95_sos_mean_high,mean_sc_sum,mean_sc_mean,mean_total_conflicts,support_success_total,support_total_total,support_success_ratio
consistent,20,1.750000,0.427025,0.095560,0.239728,0.614322,0.266627,0.064756,0.139705,0.393550,11.250000,6.975000,0.900000,1155,1712,0.674650
cicero_nopress,20,1.750000,0.356067,0.091098,0.177514,0.534619,0.217882,0.059733,0.100805,0.334958,11.400000,6.975000,4.750000,1004,1472,0.682065
dipnet,20,1.750000,0.101002,0.044247,0.014279,0.187726,0.057224,0.024373,0.009453,0.104995,4.850000,2.800000,6.850000,786,1431,0.549266
searchbot,20,1.750000,0.115906,0.057416,0.003370,0.228441,0.057953,0.028708,0.001685,0.114221,6.500000,3.250000,6.650000,941,1569,0.599745
