game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,ablation,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block2_shift3_seed2003_v1_no_c34,2003,2,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_RUSSIA,F1908R,34,cicero_nopress,cicero_nopress,dipnet,dipnet,searchbot,consistent,consistent,1,3,6,3,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,9,15,8,19,14,33,8,38,17,28,42,60,7,12
run_multi_block2_shift2_seed2002_v1_no_c34,2002,2,2,multi,AUSTRIA,consistent,dipnet,no_c34,max_phases,W1917A,60,consistent,consistent,cicero_nopress,cicero_nopress,dipnet,searchbot,searchbot,0,3,16,0,0,0,15,0.000000,0.018367,0.522449,0.000000,0.000000,0.000000,0.459184,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,7,9,17,70,111,199,13,23,14,20,2,2,88,269
run_multi_block3_shift0_seed3000_v1_no_c34,3000,3,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ITALY,F1909R,39,cicero_nopress,searchbot,dipnet,searchbot,consistent,consistent,dipnet,0,6,5,2,19,1,1,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0,0,0,0,2,3,2,0,4,4,18,38,20,55,22,56,50,55,18,33,15,19
run_multi_block3_shift2_seed3002_v1_no_c34,3002,3,2,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_AUSTRIA,F1908R,34,consistent,dipnet,searchbot,dipnet,cicero_nopress,cicero_nopress,searchbot,20,2,9,3,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35,54,13,22,25,35,19,24,16,24,14,16,1,7
run_multi_block3_shift1_seed3001_v1_no_c34,3001,3,1,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_GERMANY,F1912R,52,searchbot,consistent,cicero_nopress,consistent,dipnet,dipnet,cicero_nopress,0,0,1,18,8,0,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0,0,0,2,0,0,0,2,0,0,2,5,0,0,1,0,0,1,0,0,0,0,2,0,0,19,36,24,31,18,39,46,79,40,98,5,6,21,81
run_multi_block3_shift3_seed3003_v1_no_c34,3003,3,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_GERMANY,F1909R,38,dipnet,cicero_nopress,consistent,cicero_nopress,searchbot,searchbot,consistent,0,3,2,18,8,0,3,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,3,3,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,12,19,10,12,33,52,47,71,11,18,14,26
run_multi_block4_shift0_seed4000_v1_no_c34,4000,4,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_FRANCE,F1911R,50,searchbot,cicero_nopress,consistent,consistent,dipnet,searchbot,dipnet,3,4,18,0,4,5,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,32,57,36,39,54,73,18,28,10,19,29,50,0,21
run_multi_block4_shift2_seed4002_v1_no_c34,4002,4,2,multi,AUSTRIA,consistent,dipnet,no_c34,max_phases,F1913M,60,dipnet,consistent,cicero_nopress,cicero_nopress,searchbot,dipnet,searchbot,0,16,4,0,0,0,14,0.000000,0.547009,0.034188,0.000000,0.000000,0.000000,0.418803,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,4,1,0,9,14,83,100,33,49,13,23,23,31,5,9,74,86
run_multi_block5_shift2_seed5002_v1_no_c34,5002,5,2,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_TURKEY,F1909R,41,cicero_nopress,consistent,searchbot,dipnet,searchbot,dipnet,consistent,0,7,6,2,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,2,0,0,0,1,1,0,3,3,1,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,14,18,15,20,32,44,12,17,15,17,5,9,48,54
run_multi_block4_shift1_seed4001_v1_no_c34,4001,4,1,multi,AUSTRIA,consistent,dipnet,no_c34,max_phases,F1914M,60,cicero_nopress,dipnet,searchbot,searchbot,consistent,cicero_nopress,consistent,10,0,1,16,7,0,0,0.246305,0.000000,0.002463,0.630542,0.120690,0.000000,0.000000,2,2,0,0,0,1,0,0,2,2,5,1,1,3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,41,98,8,9,19,48,72,153,20,69,21,31,9,17
run_multi_block4_shift3_seed4003_v1_no_c34,4003,4,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ITALY,F1912R,55,consistent,searchbot,dipnet,dipnet,cicero_nopress,consistent,cicero_nopress,0,13,1,1,18,0,1,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,15,31,50,91,17,31,35,43,51,70,22,36,21,31
