side,agent_name,scope,power,n_samples,mean_sos,mean_sos_bootstrap_se,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,conflict_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,conflict_avg_per_sample,phase_total,conflict_per_phase,conflict_per_phase_bootstrap_se,support_success_total,support_total_total,support_success_ratio,n_bootstrap_units,n_bootstrap_replications
mixed,consistent,overall,OVERALL,70,0.325001,0.027976,0.242857,0.100000,0.242857,0.414286,17,7,17,29,8,32,38,1,79,0.114286,0.457143,0.542857,0.014286,1.128571,3575,0.022098,0.004466,2203,3540,0.622316,10,10000
mixed,consistent,per_power,AUSTRIA,10,0.149655,0.101337,0.100000,0.100000,0.000000,0.800000,1,1,0,8,0,2,1,0,3,0.000000,0.200000,0.100000,0.000000,0.300000,516,0.005814,0.004325,200,345,0.579710,10,10000
mixed,consistent,per_power,ENGLAND,10,0.380010,0.120845,0.200000,0.300000,0.200000,0.300000,2,3,2,3,6,10,9,0,25,0.600000,1.000000,0.900000,0.000000,2.500000,518,0.048263,0.016807,391,606,0.645215,10,10000
mixed,consistent,per_power,FRANCE,10,0.472833,0.139406,0.400000,0.000000,0.400000,0.200000,4,0,4,2,0,3,7,0,10,0.000000,0.300000,0.700000,0.000000,1.000000,502,0.019920,0.012033,377,630,0.598413,10,10000
mixed,consistent,per_power,GERMANY,10,0.339019,0.137481,0.300000,0.000000,0.300000,0.400000,3,0,3,4,1,7,8,0,16,0.100000,0.700000,0.800000,0.000000,1.600000,513,0.031189,0.012809,341,546,0.624542,10,10000
mixed,consistent,per_power,ITALY,10,0.478827,0.143287,0.400000,0.100000,0.400000,0.100000,4,1,4,1,0,8,11,1,20,0.000000,0.800000,1.100000,0.100000,2.000000,522,0.038314,0.014583,356,507,0.702170,10,10000
mixed,consistent,per_power,RUSSIA,10,0.263202,0.121987,0.200000,0.100000,0.200000,0.500000,2,1,2,5,1,2,1,0,4,0.100000,0.200000,0.100000,0.000000,0.400000,508,0.007874,0.004250,317,538,0.589219,10,10000
mixed,consistent,per_power,TURKEY,10,0.191458,0.108600,0.100000,0.100000,0.200000,0.600000,1,1,2,6,0,0,1,0,1,0.000000,0.000000,0.100000,0.000000,0.100000,496,0.002016,0.001857,221,368,0.600543,10,10000
mixed,cicero_nopress,overall,OVERALL,70,0.132229,0.027979,0.057143,0.085714,0.171429,0.685714,4,6,12,48,25,74,19,0,118,0.357143,1.057143,0.271429,0.000000,1.685714,3583,0.032933,0.002878,1840,2968,0.619946,10,10000
mixed,cicero_nopress,per_power,AUSTRIA,10,0.024630,0.023289,0.000000,0.000000,0.100000,0.900000,0,0,1,9,2,5,0,0,7,0.200000,0.500000,0.000000,0.000000,0.700000,479,0.014614,0.008016,147,286,0.513986,10,10000
mixed,cicero_nopress,per_power,ENGLAND,10,0.049361,0.024719,0.000000,0.000000,0.400000,0.600000,0,0,4,6,5,10,1,0,16,0.500000,1.000000,0.100000,0.000000,1.600000,506,0.031621,0.014429,206,259,0.795367,10,10000
mixed,cicero_nopress,per_power,FRANCE,10,0.125151,0.056787,0.000000,0.100000,0.400000,0.500000,0,1,4,5,3,13,9,0,25,0.300000,1.300000,0.900000,0.000000,2.500000,527,0.047438,0.013248,405,651,0.622120,10,10000
mixed,cicero_nopress,per_power,GERMANY,10,0.200000,0.126484,0.200000,0.000000,0.000000,0.800000,2,0,0,8,1,9,2,0,12,0.100000,0.900000,0.200000,0.000000,1.200000,522,0.022989,0.009694,210,369,0.569106,10,10000
mixed,cicero_nopress,per_power,ITALY,10,0.292530,0.101471,0.100000,0.300000,0.200000,0.400000,1,3,2,4,8,16,4,0,28,0.800000,1.600000,0.400000,0.000000,2.800000,521,0.053743,0.009614,372,552,0.673913,10,10000
mixed,cicero_nopress,per_power,RUSSIA,10,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,10,0,9,2,0,11,0.000000,0.900000,0.200000,0.000000,1.100000,505,0.021782,0.008088,161,326,0.493865,10,10000
mixed,cicero_nopress,per_power,TURKEY,10,0.233931,0.113700,0.100000,0.200000,0.100000,0.600000,1,2,1,6,6,12,1,0,19,0.600000,1.200000,0.100000,0.000000,1.900000,523,0.036329,0.009213,339,525,0.645714,10,10000
mixed,dipnet,overall,OVERALL,70,0.020309,0.007370,0.000000,0.014286,0.171429,0.814286,0,1,12,57,39,87,25,4,155,0.557143,1.242857,0.357143,0.057143,2.214286,3552,0.043637,0.005770,1250,2451,0.509996,10,10000
mixed,dipnet,per_power,AUSTRIA,10,0.011364,0.010759,0.000000,0.000000,0.100000,0.900000,0,0,1,9,5,15,1,0,21,0.500000,1.500000,0.100000,0.000000,2.100000,530,0.039623,0.011456,138,313,0.440895,10,10000
mixed,dipnet,per_power,ENGLAND,10,0.000239,0.000226,0.000000,0.000000,0.100000,0.900000,0,0,1,9,5,10,3,0,18,0.500000,1.000000,0.300000,0.000000,1.800000,513,0.035088,0.013125,137,216,0.634259,10,10000
mixed,dipnet,per_power,FRANCE,10,0.017047,0.012015,0.000000,0.000000,0.300000,0.700000,0,0,3,7,12,18,3,1,34,1.200000,1.800000,0.300000,0.100000,3.400000,510,0.066667,0.024216,250,499,0.501002,10,10000
mixed,dipnet,per_power,GERMANY,10,0.074800,0.042295,0.000000,0.100000,0.200000,0.700000,0,1,2,7,4,15,9,0,28,0.400000,1.500000,0.900000,0.000000,2.800000,488,0.057377,0.018489,239,500,0.478000,10,10000
mixed,dipnet,per_power,ITALY,10,0.027551,0.026282,0.000000,0.000000,0.100000,0.900000,0,0,1,9,7,12,7,2,28,0.700000,1.200000,0.700000,0.200000,2.800000,516,0.054264,0.015637,166,311,0.533762,10,10000
mixed,dipnet,per_power,RUSSIA,10,0.005288,0.003911,0.000000,0.000000,0.200000,0.800000,0,0,2,8,1,6,0,0,7,0.100000,0.600000,0.000000,0.000000,0.700000,508,0.013780,0.005160,141,260,0.542308,10,10000
mixed,dipnet,per_power,TURKEY,10,0.005872,0.003839,0.000000,0.000000,0.200000,0.800000,0,0,2,8,5,11,2,1,19,0.500000,1.100000,0.200000,0.100000,1.900000,487,0.039014,0.016338,179,352,0.508523,10,10000
mixed,searchbot,overall,OVERALL,70,0.093890,0.023362,0.014286,0.057143,0.257143,0.671429,1,4,18,47,47,125,31,4,207,0.671429,1.785714,0.442857,0.057143,2.957143,3577,0.057870,0.003569,2082,3597,0.578816,10,10000
mixed,searchbot,per_power,AUSTRIA,10,0.006838,0.006499,0.000000,0.000000,0.100000,0.900000,0,0,1,9,3,21,6,1,31,0.300000,2.100000,0.600000,0.100000,3.100000,516,0.060078,0.014240,204,407,0.501229,10,10000
mixed,searchbot,per_power,ENGLAND,10,0.046296,0.043763,0.000000,0.000000,0.100000,0.900000,0,0,1,9,6,15,2,1,24,0.600000,1.500000,0.200000,0.100000,2.400000,504,0.047619,0.009606,203,350,0.580000,10,10000
mixed,searchbot,per_power,FRANCE,10,0.191569,0.096348,0.100000,0.100000,0.400000,0.400000,1,1,4,4,8,20,14,1,43,0.800000,2.000000,1.400000,0.100000,4.300000,502,0.085657,0.015592,346,549,0.630237,10,10000
mixed,searchbot,per_power,GERMANY,10,0.190316,0.079939,0.000000,0.200000,0.300000,0.500000,0,2,3,5,5,27,6,1,39,0.500000,2.700000,0.600000,0.100000,3.900000,518,0.075290,0.014554,405,749,0.540721,10,10000
mixed,searchbot,per_power,ITALY,10,0.054096,0.044661,0.000000,0.100000,0.100000,0.800000,0,1,1,8,22,14,1,0,37,2.200000,1.400000,0.100000,0.000000,3.700000,482,0.076763,0.014189,285,432,0.659722,10,10000
mixed,searchbot,per_power,RUSSIA,10,0.004782,0.004291,0.000000,0.000000,0.200000,0.800000,0,0,2,8,1,7,0,0,8,0.100000,0.700000,0.000000,0.000000,0.800000,520,0.015385,0.005798,206,309,0.666667,10,10000
mixed,searchbot,per_power,TURKEY,10,0.163333,0.056177,0.000000,0.000000,0.600000,0.400000,0,0,6,4,2,21,2,0,25,0.200000,2.100000,0.200000,0.000000,2.500000,535,0.046729,0.011914,433,801,0.540574,10,10000
