agent_name,n_agent_game_samples,mean_controlled_powers,mean_sos_sum,sem_sos_sum,ci95_sos_sum_low,ci95_sos_sum_high,mean_sos_mean,sem_sos_mean,ci95_sos_mean_low,ci95_sos_mean_high,mean_sc_sum,mean_sc_mean,mean_total_conflicts,support_success_total,support_total_total,support_success_ratio
consistent,40,1.750000,0.392611,0.066642,0.261993,0.523228,0.226416,0.042420,0.143273,0.309559,11.650000,6.587500,0.650000,2230,3612,0.617386
cicero_nopress,40,1.750000,0.396961,0.068954,0.261811,0.532111,0.238564,0.044476,0.151392,0.325736,11.175000,6.725000,4.475000,2096,3386,0.619019
dipnet,40,1.750000,0.002237,0.002054,-0.001789,0.006262,0.001145,0.001027,-0.000868,0.003159,1.750000,0.887500,3.425000,1113,2178,0.511019
searchbot,40,1.750000,0.208192,0.054777,0.100829,0.315555,0.136246,0.040167,0.057519,0.214973,9.425000,5.625000,6.475000,1992,3437,0.579575
